word,translation,phonetic,mastered,sentences
"profound","ADJ. 深刻，深遠，深厚，博大精深，淵博，深邃，意義深遠，深奧，深層次，深入，深層","/prəˈfaʊnd/","✗","a profound investigation;a profound scholar;profound wisdom"
"proposition","NOUN. 命題，主張，提議，論題，構想","/ˌprɒpəˈzɪʃn/","✗","For example, one-part versions of the proposition ""The doctor pursued the lawyer"" were ""The doctor verbed the object,"" ...;Our English nouns remain unchanged, whether they form the subject or the object of a proposition.;“Wiktionary is a good dictionary” is a proposition."
"protract","NOUN. 繪製","/prəˈtrækt/","✗","A cat can protract and retract its claws.;to protract a decision or duty;Then, since I’m sure to meet my Fate,
How vain would Hope appear?
Since Fear cannot protract the Date,
How foolish ’twere to fear?"
"provoke","VERB. 挑起，惹，招惹，激怒，挑釁，激起","/prəˈvəʊk/","✗","Not that the doctor was a bully, or even pugnacious, in the usual sense of the word; he had no disposition to provoke a fight, no propense love of quarrelling.;They rightly say that attacks against prostitute women are common and that it's only when five are murdered in one place that it starts to provoke debate.;Don't provoke the dog; it may try to bite you."
"quorum","NOUN. 法定人數，仲裁","/ˈkwɔːrəm/","✗","We can discuss the issue tonight, but cannot vote until we have a quorum.;If one is praying without a minyan (quorum), he should not say Hashem, Hashem in the manner of supplication but rather should read it in a cantillatory style.;In addition, some roseobacters have been shown to utilize other signaling molecules apart from AHLs in quorum sensing, i.e. tropodithietic acid (TDA) (Geng and Belas 2010a)."
"redundant","ADJ. 冗餘，多餘，重複，超額 NOUN. 冗餘度，冗，累贅","/rɪˈdʌndənt/","✗","In the living state, the body is observed to receive aliment; to assimilate a part; to evacuate what is redundant or useless; …;Four employees were made redundant.;The two lines are mainly used for redundant and therefore fault-tolerant message transmission, but they can also transmit different messages."
"refurbish","X. 再磨光，刷新","/ˌriːˈfɜːbɪʃ/","✗","An RPS is a network of transportation logistics and processing functions that collect, recycle, refurbish, and demanufacture end-of-life products.;Early firees Bradford and Stacie J. returned, and the teams competed to see which could refurbish a house better to improve its value on the market.;The Highways Agency plan to close J10 of the M5 to refurbish the motorway bridge."
"render","NOUN. 渲染 VERB. 呈現","/ˈrendə(r)/","✓","we may, at last, render our philosophy like that of Epictetus;to render Latin into English;render a verdict (i.e., deliver a judgment)"
"repository","NOUN. 存儲庫，儲存庫，知識庫，庫，倉庫，信息庫，資料庫","/rɪˈpɒzətri/","✗","Any number of people can be reading from a given repository at a time.;This simulation aims at describing the hydrological conditions at a Swedish deep repository of nuclear waste during a glaciation.;In this model, anyone can fork an existing repository and push changes to their personal fork."
"ridicule","NOUN. 嘲笑，調侃，嘲弄，奚落，嘲諷，嬉笑怒罵 VERB. 譏笑","/ˈrɪdɪkjuːl/","✗","Safe from the Bar, the Pulpit, and the Throne, / Yet touch'd and sham'd by Ridicule alone.;[Marlborough] was so miserably ignorant, that his deficiencies made him the ridicule of his contemporaries.;late 17th century, John Aubrey, Brief Lives
This action […] became so ridicule."
"rite","NOUN. 儀式，禮儀，禮，禮樂","/raɪt/","✗","He's rite, you know.;It's rite next to my house.;Rite, let's do it."
"safari","NOUN. 狩獵，野生動物，探險","/səˈfɑːri/","✗","We're going on a safari in Kenya.;An ardent junker herself, Mrs. Egge tells how to conduct a fascinating junk safari into the attic or antique and secondhand shops and what to do with the trophies you bring home.;Come on, boy, move that body/ 'Cause tonight I'm naughty, naughty/ Dance with me like it's my party/ We go wild, we're in safari"
"sake","NOUN. 緣故，着想，清酒，為了，起見，份","/seɪk/","✗","For the sake of argument;For old times' sake;2005, Plato, Sophist. Translation by Lesley Brown. 242a-b.
But it will be for your sake that we'll undertake to refute this thesis, […]"
"saudi","ADJ. 沙特，沙特阿拉伯","/ˈsaʊdi/","✓","The agal he wore on his head gave him away as a Saudi.;June 22 2008, Sebastian Abbot, Oil minister: Saudi willing to increase crude output, Associated Press:;2000, Thomas C. Barger, Timothy J. Barger, Out in the Blue: Letters from Arabia, 1937 to 1940 : a Young American Geologist Explores the Deserts of Early Saudi Arabia, →ISBN:"
"scenario","NOUN. 場景，情景，方案，情形，情況下，情境，劇情，情節，局面","/səˈnɑːriəʊ/","✓","Hearts were keen to avoid a repeat of the scenario at this stage of last season's competition, when they found themselves two goals down inside the opening quarter of an hour.;Warnock admitted it would be the ideal scenario if he received a Carling Cup winners' medal as well as an England call-up[…].;In this scenario, the growth rates are higher for the economic tigers than for the other economies."
"sectarianism","NOUN. 宗派主義","/sekˈteəriənɪzəm/","✗","They were discussing sectarianism between Shias and Sunnis.;In Lebanese sectarianism, one half of the members of parliament are Christians and the other half are Muslims.;The entire path (Dhamma) is a universal remedy for universal problems and has nothing to do with any organized religion or sectarianism."
"sphinx","NOUN. 獅身人面像，斯芬克斯","/sfɪŋks/","✗","The secret of Man's Being is still like the Sphinx's secret: a riddle that he cannot rede.;Some consider the defacement of the Sphinx to be the most egregious crime of Napolean's campaigns.;Sara, oh Sara / Scorpio Sphinx in a calico dress"
"submission","NOUN. 提交，投稿，呈交，遞交，意見書，陳詞，屈服，順從，服從","/səbˈmɪʃn/","✗","The Baronies appear to have been formed successively on the submission of the Irish chiefs... the territory of each constituting a barony.;The most usuall way to appease those minds we have offended […] is, by submission to move them to commiseration and pitty.;Ovid might have evaded her entreaties by means of an excuse. But her eyes were irresistible: they looked him into submission in an instant."
"subsequent","ADJ. 後續，隨後，其後，後繼，後來，以後，接下來，後面，日後","/ˈsʌbsɪkwənt/","✓","Growth was dampened by a softening of the global economy in 2001, but picked up in the subsequent years due to strong growth in China.;On 2 March, Chinese border guards with the help of regular PLA forces skillfully ambushed Strelnikov's unit on the ice near Chen Pao, killing him and 30 Soviets in the subsequent skirmish.;The peculiar position of the subsequent Derwent, close to the sea, suggests some glacial interference with normal adjustments, and calls for special explanation."
"suite","NOUN. 套房，套件，套間，組曲，套裝，一套","/swiːt/","✓","[A]s to men, we shall live altogether at the Duc de Romagnecourt's, his suite of servants will be ours.;a suite of rooms;a suite of minerals"
"tabular","ADJ. 表格","/ˈtæbjələ(r)/","✗","Dark brown to black; streak brownish red; fracture shelllike; crystals equidimensional to tabular, also in rounded and scaly masses...;It should be noted that the first and the second method is well suited for both ordinary text and for tabular data.;This is due to the formation of a smaller code compared to the tabular one."
"template","NOUN. 模板，範本，樣板","/ˈtempleɪt/","✓","A template is a blueprint or formula for creating a generic class or a function. “C++ Templates”, in tutorialspoint, 2016;A quarter-century later, the Band’s music provided a key template for the acts first labeled Americana, including Son Volt, Wilco and Lucinda Williams, as well as for their sonic heirs.];A template for those who will become transhuman."
"tragic","ADJ. 悲劇，悲慘，悲劇性，悲壯，慘烈，悲情，可悲，不幸，慘","/ˈtrædʒɪk/","✗","14 February 2008, “Search for tragic Madeleine McCann over”, in The Daily Telegraph, Australia:;That dress is tragic.;He's pretty tragic these days, hanging out with people half his age."
"trail","NOUN. 蹤跡，線索，小道，足跡，小徑，痕跡，徑，軌跡，追蹤","/treɪl/","✗","You'll get your coat all muddy if you trail it around like that.;Even now I behold a sign, A threatening of wrath divine, A watery, wandering star, through whose streaming hair, and the white Unfolding garments of light, That trail behind it afar, The constellations shine!;trail of blood"
"tweak","VERB. 調整，微調 NOUN. 捏","/twiːk/","✗","to tweak the nose.;If we tweak the colors towards blue, it will look more natural.;“Russia needs leadership and he knows how to tweak people.” He grinned, “He made a convert of me,” chuckling. “I wanted to lead him by the hand, now I follow him like a puppy dog.”"
"twiddle","ADJ. 旋轉","/ˈtwɪdl/","✗","the twiddle factor, and;He put away the reciever with receiver with a twiddle of pudgy fingers.;Instead, flagellar motion causes the bacterium to swim smoothly (called a run), then stop and tumble (a twiddle), followed by another period of smooth swimming;A raised white brow in my direction, and a twiddle of the pipe stem toward the trail indicated that his wife was at our house, if that's who I was looking for."
"twofold","ADJ. 雙重，兩重","/ˈtuːfəʊld/","✗","The wheat produced a twofold harvest.;a twofold nature; a twofold sense; a twofold argument;It is the tale of Ixion's twofold guilt, unnatural murder and unlawful love."
"universality","NOUN. 普遍性，通用性，普適性，廣泛性，共性，普及，具有普遍性，普世","/ˌjuːnɪvɜːˈsæləti/","✓","Universality is denied to nature, and only the supersensible, that is, nonnature, is the realm of the universal.;Its unconditionality is maintained in the act of willing only if it wills according to the universality of law, thereby transcending the conditioning effects of subjective inclinations.;Because the selflike (selbstische) universality, the subjective One (Bins) of the individuality, does not separate itself from the real particularization but is only submerged in it, …"
"unprecedented","ADJ. 前所未有，空前，史無前例，空前絕後，從未有過，先例","/ʌnˈpresɪdentɪd/","✗","On October 6, 1927, Warner Bros. released The Jazz Singer, the first sound-synched feature film, prompting a technological shift of unprecedented speed and unstoppable force. Within two years, nearly every studio release was a talkie.;the invading host that had sailed from Hellas in more than one thousand ships was of an unprecedented size.;Ecologists say the months of intense and unprecedented fires will almost certainly push several species to extinction."
"unwed","ADJ. 未婚","/ˌʌnˈwed/","✓","My biological mother was a young, unwed college graduate student, and she decided to put me up for adoption. ;At last it was determined to unwed the unhappy pair, during the arrangements for which the husband was arrested and put into jail for six months for rioting.;The unwed, government dependent sheboons who use food as a babysitter, while stuffing their own faces constantly.;One of the rising female talents in the Indonesian film industry, director Pritagita Arianegara debuts with Salawaku, depicting profound contrasts between beautiful oceanscapes and struggling, unwed mothers."
"urge","VERB. 促請，敦促，懇請，督促，促使，勸 NOUN. 呼籲，衝動，慾望","/ɜːdʒ/","✓","After seeing the advert for a soft drink, I had a sudden urge to buy a bottle.;to urge an argument; to urge the necessity of a case;to urge an ore with intense heat"
"vitality","NOUN. 生命力，活力，生機，勃勃生機，朝氣，生機盎然，生機勃勃，朝氣蓬勃，充滿活力","/vaɪˈtæləti/","✓","The educated man of the twentieth century is not anaemic, languishing in a washed-out, wan vitality.;It was, however, in the Puritan movement in England, and in similar movements on the continent — especially the Bohemian Brethren — that chiliasm asserted its greatest vitality as an historical force.;lower one's vitality"
"vulgar","ADJ. 庸俗，粗俗，低俗，俗，粗鄙，低級趣味，俗氣，低級","/ˈvʌlɡə(r)/","✗","vulgar language;vulgar words;a truly vulgar showing of affection"
"wagon","NOUN. 旅行車，車皮，馬車，貨車，運貨車，槽車，戒酒，輛馬車，大車","/ˈwæɡən/","✗","The waiters wore red jackets with black lapels, in summer white jackets with green lapels. There was a roast beef wagon. A pastry section in the huge kitchen.;I began as a patrol officer, working the wagon, squad car, and three-wheelers until 1963, when I took the detective exam.;Well fuck yeh, yeh stuck-up little wagon."
"zodiac","NOUN. 黃道帶，生肖，十二生肖，黃道，星座，屬相，黃道十二宮，宮","/ˈzəʊdiæk/","✗","The moon's path lies in that belt of the heavens known as the zodiac.;Of all the zodiac signs, Sagittarius is the least likely to rush into a commitment. They think romance should always be an adventure, and it takes a lot for them to DTR.;Such a comparatively unremunerative occupation as that of carrying a few score head of cattle six times a year from Port Zodiac to Port Marivelles was not worth a ship-owner's thought […]"
